STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
XO-2,0.82,148.148,0.45,9.34,9.744,9.308,4.452,0.974,1.08929,0.971,5340
Kepler-859,,915,-0.02,13.946,14.424,13.858,4.59,0.81,,0.77,5020
Kepler-305,,,,13.74,14.25,13.7,4.561,,,0.794,5100
Kepler-393,,,,12.087,12.325,11.995,4.233,,,1.382,6189
Kepler-96,0.68,,0.04,8.928,9.26,8.868,4.421,1,1.54,1.02,5690
Kepler-1497,,1122,0.01,13.756,14.134,13.699,4.47,0.96,,0.95,5675
Kepler-1257,,1081,-0.09,13.851,14.289,13.848,4.52,0.9,,0.87,5502
HD 187085,0.574,44.0335,0.0882322,5.95,6.19,5.876,4.27584,1.143,,1.31178,6075.15
HD 118203,0.699,88.574,0.1,6.607,6.86,6.543,3.87,1.23,,2.14975,5600
Kepler-833,,421,-0.18,13.006,13.629,12.885,4.67,0.64,,0.62,4339
Kepler-464,,653,0.19,11.363,11.652,11.338,4.11,1.21,,1.59,5933
WASP-63,0.59,330,0.08,9.463,9.818,9.393,4.01,1.32,0.278784,1.88,5550
Kepler-836,,1003,-0.01,13.244,13.539,13.15,4.41,1.03,,1.04,5895
Kepler-946,,918,-0.09,13.341,13.735,13.295,4.47,0.94,,0.93,5665
HD 175167,0.751,67.2948,0.19,6.381,6.713,6.288,,1.102,,,
Kepler-273,,,,13.35,13.682,13.217,4.514,,,0.815,5626
Kepler-461,,468,0.04,11.969,12.253,11.917,4.51,0.98,,0.91,5634
Kepler-1603,,1751,0.07,13.928,14.191,13.84,4.28,1.21,,1.31,6241
Kepler-323,,,,11.423,11.689,11.354,4.31,,,1.178,5987
Kepler-267,,,,12.68,13.334,12.485,4.729,,,0.555,4258
HAT-P-16,0.47,235,0.17,9.623,9.85,9.596,4.34,1.218,,1.237,6158
TrES-4,0.52,485.437,0.14,10.259,10.583,10.339,4.064,1.394,0.328,1.816,6200
Kepler-231,,,,12.775,13.405,12.589,4.779,,,0.49,3767
NGC 4349 127,1.46,2200,-0.25,,,,1.64,1.37,,42.3715,4445
GJ 676 A,1.435,16.4501,0.18,6.082,6.711,5.825,,0.71,,,
Kepler-60,,,,12.569,12.804,12.516,4.13,1.11,,1.5,5915
Kepler-1124,,177,-0.59,13.055,13.671,12.826,4.93,0.35,,0.34,3658
Kepler-1235,,533,0.01,12.273,12.631,12.199,4.5,0.93,,0.9,5541
Kepler-151,,,,12.998,13.383,12.86,4.555,,,0.83,5460
Kepler-242,,,,13.316,13.821,13.24,4.492,,,0.85,5020
Kepler-230,,,,13.37,13.824,13.3,4.551,,,0.817,5588
HD 47186,0.71,39.5883,0.23,6.099,6.416,6.004,4.36,0.99,,1.13117,5675
Kepler-463,,336,-0.28,11.232,11.65,11.209,4.47,0.87,,0.9,5661
Kepler-1553,,719,-0.09,13.17,13.677,13.167,4.56,0.85,,0.81,5288
Kepler-1003,,873,0.01,12.637,12.95,12.623,4.35,1.11,,1.17,6109
Kepler-840,,778,0,12.682,12.996,12.6,4.41,1.04,,1.06,5920
Kepler-534,,473,0.01,11.775,12.063,11.708,4.48,1.05,,0.98,5884
Kepler-350,,,,12.45,12.718,12.393,4.15,,,1.534,6186
Kepler-900,,505,-0.01,12.835,13.375,12.701,4.6,0.78,,0.73,4836
Kepler-209,,,,12.432,12.797,12.362,4.472,,,0.935,5513
HD 142245,1.04,109.5,0.23,5.232,5.689,5.11,3.3,1.69,,4.51552,4878
Kepler-1251,,863,-0.04,13.359,13.724,13.269,4.51,0.92,,0.89,5545
Kepler-59,,,,12.974,13.253,12.928,4.51,1.04,,0.94,6074
Kepler-493,,1942,0.11,13.696,13.956,13.727,4.19,1.36,,1.54,6457
Kepler-1054,,1050,0.09,12.762,13.007,12.693,4.26,1.22,,1.34,6209
Kepler-1607,,735,0.05,12.271,12.592,12.218,4.33,1.14,,1.21,6116
Kepler-309,,,,12.931,13.504,12.852,4.612,,,0.721,4713
Kepler-1447,,871,-0.03,13.146,13.526,13.124,4.47,0.97,,0.95,5722
Kepler-302,,,,13.91,14.259,13.9,4.286,,,1.22,5740
Kepler-1489,,870,-0.13,13.286,13.677,13.247,4.51,0.93,,0.9,5655
HD 30177,0.773,52.8262,0.394219,6.829,7.15,6.715,4.31073,0.951,,1.21235,5607.39
Kepler-678,,875,0.07,13.402,13.732,13.26,4.5,0.94,,0.91,5520
Kepler-446,,120,-0.3,13.07,13.59,12.82,,0.22,,0.24,3359
Kepler-4,,549.451,0.17,10.84,11.122,10.805,4.25,1.223,,1.487,5857
Kepler-1370,,878,0.05,12.421,12.681,12.349,4.29,1.19,,1.29,6202
Kepler-882,,525,-0.03,12.354,12.761,12.268,4.52,0.9,,0.87,5476
bet Cnc,1.48,92.99,-0.29,0.28,1.06,0.14,1.4,1.7,,47.2,4092.1
HD 190647,0.743,57.2738,0.24,6.251,6.546,6.16,4.18,1.1,,1.42287,5628
Kepler-530,,464,-0.08,11.939,12.303,11.9,4.53,0.97,,0.89,5697
Kepler-1522,,690,-0.07,12.729,13.097,12.621,4.49,0.96,,0.93,5706
Kepler-759,,892,0.06,13.009,13.327,12.967,4.42,1.04,,1.04,5860
Kepler-1351,,241,-0.03,11.573,12.225,11.47,4.64,0.7,,0.67,4439
Kepler-529,,787,-0.1,12.466,12.786,12.418,4.35,1.07,,1.14,6087
Kepler-977,,664,-0.01,13.018,13.434,12.92,4.55,0.87,,0.83,5315
HD 97658,0.843,21.1149,-0.3,5.821,6.203,5.734,4.618,0.748,3.04,0.703,5119
Kepler-261,,,,11.672,12.127,11.585,4.561,,,0.794,5098
Kepler-658,,341,-0.04,12.727,13.441,12.627,4.68,0.63,,0.6,4103
Kepler-175,,,,13.487,13.773,13.5,4.472,,,1.01,6064
Kepler-509,,339,0.01,10.564,10.793,10.483,4.32,1.1,,1.2,6060
Kepler-577,,549,-0.14,12.952,13.438,12.861,4.61,0.78,,0.73,4984
Kepler-1153,,1185,0.03,14.071,14.46,14.029,4.52,0.91,,0.88,5470
Kepler-433,0.73,1870,0.06,12.94,13.2,12.82,4,1.46,0.178,2.26,6340
Kepler-1319,,114,0.44,10.927,11.57,10.726,4.73,0.56,,0.54,3655
HD 106270,0.74,84.8969,0.06,5.964,6.249,5.862,3.72,1.33,,2.66147,5601
Kepler-1287,,1027,-0.05,13.54,13.925,13.505,4.48,0.96,,0.94,5715
Kepler-426,0.663,880,-0.21,13.23,13.624,13.212,4.471,0.91,1.17,0.92,5725
Kepler-379,,,,12.092,12.341,12.005,4.273,,,1.306,6054
WASP-20,0.49,210,-0.01,9.42,9.7,9.39,4.232,1.2,0.447,1.392,5950
HD 30856,0.961,118.1,-0.14,5.798,6.255,5.657,3.15,1.36,,5.5698,4973
HD 24064,1.513,268.817,-0.49,3.432,4.317,3.13,1.44,1,,38,4052.5
HD 48265,0.747,85.3971,0.17,6.528,6.841,6.448,,0.93,,,
Kepler-476,,687,0.04,12.358,12.673,12.297,4.38,1.03,,1.09,5837
Kepler-154,0.54,0,-0.391,13.089,13.389,12.986,4.42,0.89,,1,5690
HATS-4,0.808001,420,0.43,11.69,12.03,11.61,4.51,1.001,,0.925,5403
Kepler-1608,,832,-0.24,13.83,14.419,13.836,4.61,0.75,,0.72,4992
Kepler-527,,901,0.03,12.188,12.424,12.125,4.22,1.28,,1.45,6388
CoRoT-27,0.962,,0.1,13.17,13.571,12.985,4.4,1.05,1.24,1.08,5900
Kepler-1115,0.2,935,-0.51,11.555,11.566,11.512,4.17,1.6,,1.73,8480
Kepler-1141,,365,0.04,11.041,11.338,10.966,4.38,1.01,,1.07,5791
Kepler-360,,,,13.299,13.642,13.23,4.423,,,1.058,6053
Kepler-969,,411,0.22,11.976,12.413,11.897,4.57,0.92,,0.82,5214
Kepler-1106,,1168,0,13.293,13.6,13.234,4.35,1.11,,1.17,6104
Kepler-381,0.61,,,9.547,9.721,9.504,4.12,,,1.568,6152
Kepler-168,,,,13.26,13.49,13.21,4.422,,,1.107,6282
Kepler-874,,1072,0.03,13.223,13.543,13.14,4.37,1.09,,1.13,6020
Kepler-987,,936,0.01,13.484,13.776,13.375,4.51,0.97,,0.91,5637
HD 89307,0.594,32.3625,-0.159213,5.644,5.891,5.564,4.34122,0.989,,1.15051,5897.77
Kepler-1039,,324,0.01,11.863,12.424,11.753,4.6,0.79,,0.74,4870
Kepler-1112,,1734,0.04,13.454,13.688,13.397,4.19,1.34,,1.54,6496
HD 163607,0.78,68.9998,0.21,6.342,6.648,6.271,4.04,1.09,,1.69594,5543
Kepler-960,,298,0.02,11.729,12.272,11.618,4.61,0.77,,0.72,4755
WASP-49,0.58,170,-0.23,,,,4.5,0.938,1.4218,0.976,5600
Kepler-288,,,,13.662,14,13.587,4.353,,,1.091,5918
Kepler-1314,,462,-0.22,13.51,14.101,13.22,4.68,0.6,,0.59,4188
Kepler-1504,,1029,-0.17,13.998,14.409,13.834,4.55,0.85,,0.81,5393
HD 4313,0.96,136.986,0.05,5.774,6.159,5.595,3.36,1.53,,4.11574,4966
Kepler-1197,,505,0.06,12.91,13.47,12.814,4.62,0.78,,0.72,4708
HR 8799,0.257,39.4,-0.47,5.28,5.383,5.24,,1.516,,1.44,7193
Kepler-774,,1190,0.04,11.652,11.902,11.64,3.87,1.57,,2.42,6403
Kepler-1173,,402,0,11.977,12.416,11.884,4.55,0.86,,0.82,5252
HD 2638,0.886,49.9251,0.16,7.417,7.858,7.308,4.29,0.93,,1.1428,5192
Kepler-512,,531,0.22,11.347,11.617,11.315,4.28,1.17,,1.3,5997
Kepler-747,,855,-0.03,13.792,14.241,13.63,4.58,0.82,,0.78,5096
Kepler-827,,1352,-0.06,14.266,14.668,14.209,4.5,0.93,,0.91,5602
Kepler-1057,,1462,0.01,13.977,14.336,13.924,4.38,1.07,,1.1,5987
WASP-41,0.73,180.018,0.06,9.752,10.096,9.677,4.53,0.93,1.41,0.87,5545
Kepler-1622,,927,0.04,12.18,12.422,12.104,4.2,1.31,,1.5,6436
HD 10180,0.629,39.0168,0.08,5.934,6.246,5.868,4.39,1.06,,1.10851,5911
Kepler-445,,90,0.27,12.93,13.54,12.61,,0.18,,0.21,3157
Kepler-1088,,300,0.05,10.478,10.779,10.476,4.4,1.08,,1.08,5975
HD 45350,0.74,48.8759,0.290863,6.279,6.587,6.224,4.32489,1.054,,1.18013,5616.04
HD 69830,0.79,12.4938,-0.0604105,4.363,4.953,4.165,4.46442,0.849,,0.921634,5360
Kepler-963,,786,-0.02,13.224,13.652,13.158,4.52,0.91,,0.87,5461
Kepler-21,0.517,112.867,-0.15,7.031,7.23,6.945,4.019,1.34,0.2886,1.86,6131
Kepler-1053,,171,0.1,10.736,11.334,10.585,4.63,0.74,,0.69,4529
CoRoT-28,1.219,560,0.15,11.143,11.601,11.032,3.94,1.01,0.27,1.78,5150
Kepler-679,,968,-0.09,13.783,14.196,13.692,4.54,0.87,,0.84,5403
Kepler-841,,1052,-0.09,14.04,14.464,13.928,4.56,0.85,,0.81,5324
KELT-3,0.48,178,0.048,8.728,8.963,8.662,4.204,1.282,0.556,1.482,6304
Kepler-51,,,,13.219,13.562,13.2,4.52,1,,0.91,5803
Kepler-1639,,1168,-0.03,13.19,13.508,13.211,4.34,1.12,,1.18,6150
HD 148427,0.93,59.0319,0.03,4.875,5.299,4.682,3.39,1.36,,3.92268,4962
Kepler-810,,1554,0.1,14.238,14.534,14.207,4.42,1.03,,1.04,5803
Kepler-1520,,636,0.04,13.433,14.021,13.319,4.61,0.76,,0.71,4677
Kepler-533,,305,0.01,11.778,12.335,11.683,4.61,0.78,,0.72,4758
epsilon Tau,1.014,44.964,0.17,1.314,1.747,1.421,2.62,2.73,,12.752,4946
Kepler-1419,,1444,0.04,14.172,14.507,14.081,4.43,1.01,,1.01,5796
HAT-P-46,0.96,296,0.3,9.972,10.33,9.924,4.25,1.284,,1.396,6120
HD 208487,0.568,45.8505,0.0222606,6.213,6.477,6.158,4.33503,1.113,,1.20627,6067.44
Kepler-1033,,1425,0.06,14.381,14.684,14.283,4.49,0.94,,0.92,5547
Kepler-1517,0.48,869,0.01,11.346,11.505,11.303,4.06,1.58,,1.95,7010
Kepler-626,,690,0.01,12.438,12.781,12.388,4.4,1.01,,1.05,5813
Kepler-311,,,,12.47,12.751,12.418,4.308,,,1.188,5905
Kepler-117,0.64,,,12.99,13.324,13.01,4.187,,,1.471,6169
epsilon Eri,0.881,3.21605,-0.0308963,1.879,2.228,1.776,4.57418,0.82,,0.74,5145.75
Kepler-935,,482,-0.01,12.774,13.292,12.62,4.61,0.78,,0.73,4830
Kepler-1245,,861,-0.01,13.57,14.001,13.519,4.55,0.86,,0.83,5306
HD 20782,0.63,35.524,-0.0510211,5.956,6.229,5.826,4.34918,0.969,,1.12933,5758.36
Kepler-613,,864,-0.01,13.14,13.483,13.067,4.47,0.98,,0.96,5723
Kepler-1011,,860,0.08,13.432,13.832,13.361,4.52,0.91,,0.88,5416
Kepler-1536,,401,0.05,12.697,13.306,12.55,4.64,0.71,,0.67,4434
Kepler-726,,838,-0.09,13.381,13.81,13.329,4.53,0.88,,0.85,5452
Kepler-1400,,879,0.04,13.775,14.26,13.768,4.58,0.83,,0.78,5044
Kepler-896,,896,-0.1,13.682,14.164,13.659,4.56,0.84,,0.81,5262
HD 190360,0.749,15.8579,0.212773,4.238,4.554,4.075,4.38474,0.983,,1.07528,5551.63
Kepler-823,,896,0.06,13.246,13.619,13.187,4.47,0.98,,0.96,5643
Kepler-1490,,968,-0.08,13.671,14.092,13.616,4.52,0.9,,0.87,5515
Kepler-760,,782,0.08,13.301,13.707,13.239,4.54,0.89,,0.85,5322
Kepler-1558,,343,0,11.738,12.204,11.657,4.57,0.83,,0.79,5101
Kepler-1618,,1238,0.04,12.539,12.779,12.473,4.15,1.41,,1.65,6620
HD 65216,0.672,35.5745,-0.12,6.419,6.762,6.328,4.53,0.92,,0.88536,5666
Kepler-343,,,,12.722,13.039,12.683,4.184,,,1.433,5807
Kepler-593,,1016,0.04,13.131,13.431,13.115,4.39,1.08,,1.1,5967
Kepler-1482,,442,-0.04,12.034,12.441,11.996,4.54,0.88,,0.84,5381
Kepler-1004,,1080,-0.04,11.155,11.7,11.06,3.43,1.11,,3.39,4972
Kepler-356,,,,11.745,12,11.704,4.256,,,1.335,6133
Kepler-968,,312,0.13,11.971,12.518,11.831,4.63,0.76,,0.7,4598
HAT-P-13,0.73,202.02,0.41,9.058,9.328,8.975,4.13,1.22,,1.56,5653
Kepler-448,0.219999,426,,10.28,10.46,10.23,,1.452,0.472,1.63,6820
GJ 3634,2.45,19.7824,,7.76,8.361,7.47,,0.45,,0.43,
Kepler-1070,,1040,0.03,12.701,12.956,12.681,4.27,1.21,,1.32,6261
Kepler-1087,,354,0.01,11.312,11.66,11.213,4.48,0.96,,0.94,5589
Kepler-1071,,964,0.01,13.97,14.371,13.775,4.56,0.86,,0.81,5215
Kepler-1432,,1552,0.02,13.95,14.268,13.97,4.37,1.09,,1.13,6031
HD 130322,0.781,31.7058,0.00632988,6.315,6.712,6.234,4.40817,0.836,,0.986573,5308.11
Kepler-1422,,2081,0,14.368,14.658,14.352,4.32,1.15,,1.23,6194
Kepler-934,,603,0.01,13.057,13.549,12.97,4.59,0.81,,0.77,5001
Kepler-742,,499,0.07,12.962,13.496,12.817,4.62,0.76,,0.71,4642
Kepler-1050,,555,0.03,11.753,12.042,11.717,4.37,1.09,,1.13,6010
Kepler-1298,,498,0.13,10.214,10.415,10.149,4,1.45,,2,6339
Kepler-1297,,996,-0.04,13.381,13.684,13.262,4.45,0.99,,0.99,5818
Kepler-1613,,855,0.01,12.731,12.999,12.653,4.37,1.08,,1.12,6005
Kepler-903,,829,0.05,13.065,13.385,12.993,4.46,0.98,,0.97,5682
Kepler-348,,,,11.454,11.708,11.377,4.244,,,1.359,6177
Kepler-1543,,1114,0.07,12.327,12.538,12.291,4.14,1.39,,1.65,6561
Kepler-185,,,,12.587,13.05,12.515,4.545,,,0.806,5208
omega Ser,1.009,80.6452,-0.24,2.955,3.461,2.838,2.32,2.17,,12.3,4770
Kepler-111,,,,12.111,12.412,12.11,4.377,,,1.157,5952
Kepler-673,,978,0,13.825,14.179,13.669,4.54,0.88,,0.84,5355
Kepler-965,,618,0.03,11.979,12.298,11.91,4.33,1.05,,1.15,5886
Kepler-1295,,1257,0.04,14.227,14.563,14.092,4.51,0.92,,0.89,5486
HD 16175,0.63,57.8704,0.39,5.921,6.166,5.852,4.37,1.29,,1.19707,6080
Kepler-235,,,,13.278,13.952,13.12,4.73,,,0.554,4255
Kepler-1436,,1142,-0.01,13.428,13.75,13.358,4.39,1.06,,1.09,5972
HD 46375,0.86,34.8189,0.240029,6.072,6.451,6,4.53281,0.927,,0.863012,5285.42
Kepler-114,,,,11.469,12.035,11.366,4.65,,,0.667,4605
Kepler-741,,1530,0.07,13.746,13.99,13.693,4.31,1.16,,1.24,6129
CoRoT-29,1.144,765,0.2,13.12,13.565,13.048,4.3,0.97,1.825,0.9,5260
Kepler-868,,1269,-0.08,14.128,14.531,14.09,4.51,0.93,,0.89,5614
Kepler-14,0.24,979.998,0.12,11.068,11.202,10.988,3.994,1.512,,2.048,6395
Kepler-234,,,,14.1,14.387,14.06,4.421,,,1.113,6224
Kepler-1308,,73,-0.13,11.24,11.878,11.023,4.92,0.35,,0.34,3468
Kepler-1302,,727,0.04,13.267,13.657,13.151,4.55,0.86,,0.82,5236
CoRoT-13,0.738,1310.62,0.01,13.406,13.71,13.38,4.3,1.09,1.04857,1.01,5945
HD 98219,0.96,134,0.05,5.913,6.42,5.813,3.59,1.62,,2.95355,5046
HD 12648,0.904,158.983,-0.57,4.82,5.302,4.743,2.18,1.2,,9.2,4835.8
HAT-P-34,0.410001,257.003,0.22,9.322,9.46,9.247,4.21,1.392,,1.197,6442
Kepler-654,,661,0.04,12.202,12.516,12.158,4.36,1.04,,1.11,5865
Kepler-421,,320,-0.25,11.61,12,11.53,4.61,0.794,1.58,0.757,5308
Kepler-1241,,936,-0.09,13.823,14.298,13.764,4.56,0.84,,0.8,5261
MOA-2010-BLG-477L,,2300,,,,,,0.67,,,
Kepler-1198,,777,0.03,13.149,13.483,13.012,4.5,0.93,,0.9,5517
Kepler-1139,,555,0.05,12.35,12.748,12.339,4.5,0.94,,0.91,5550
Kepler-1206,,807,0.07,13.762,14.29,13.742,4.6,0.8,,0.75,4877
mu Leo,1.22,38.05,0.36,1.327,1.93,1.22,2.4,1.5,,11.4,4538.2
Kepler-431,0.71,,0.07,10.67,10.94,10.64,4.4,1.071,,1.092,6004
Kepler-1531,,670,-0.03,11.875,12.142,11.772,4.29,1.16,,1.27,6260
Kepler-481,,713,0.03,12.4,12.724,12.383,4.36,1.01,,1.09,5802
HD 139357,1.19,118.064,-0.13,3.592,4.179,3.406,2.9,1.35,,7.76389,4700
HD 1461,0.674,23.245,0.18,5.041,5.329,4.897,4.37,1.026,,1.12553,5765
Kepler-1275,,1280,0.04,13.119,13.4,13.062,4.26,1.23,,1.36,6296
HAT-P-30,0.451,193,0.13,9.22,9.442,9.151,4.36,1.242,,1.215,6304
Kepler-430,,,0.2,12.48,12.74,12.39,4.15,1.166,,1.485,5884
Kepler-1360,,1405,0.06,12.636,12.854,12.547,4.09,1.51,,1.83,6778
Kepler-901,,241,-0.3,12.096,12.753,11.907,4.7,0.59,,0.57,4184
Kepler-251,,,,13.596,13.96,13.63,4.486,,,0.89,5526
HD 8535,0.553,52.5486,0.06,6.449,6.735,6.354,4.46,1.13,,1.0437,6136
Kepler-1619,,520,-0.07,11.888,12.232,11.858,4.44,1,,1,5852
Kepler-1473,,625,-0.01,12.103,12.346,12.009,4.4,1.09,,1.09,6046
HAT-P-28,0.37,394.999,0.12,11.206,11.561,11.104,4.36,1.025,,1.103,5680
Kepler-474,,568,-0.01,11.969,12.306,11.91,4.36,0.99,,1.08,5785
HD 4203,0.771,77.2201,0.452632,7.115,7.389,7.047,4.36144,1.13,,1.15783,5701.69
Kepler-331,,,,13.51,14.08,13.34,4.768,,,0.492,4347
HD 102956,0.971,126.263,0.19,5.767,6.214,5.663,3.5,1.68,,3.42909,5054
WTS-2,,1000,0.2,13.46,13.92,13.41,4.5,0.82,2.62,0.761,5000
Kepler-362,,,,12.921,13.322,12.78,4.639,,,0.722,5788
Kepler-1147,,1476,0.11,13.891,14.179,13.877,4.36,1.09,,1.14,5941
Kepler-1083,,912,-0.02,13.932,14.386,13.815,4.58,0.81,,0.77,5049
Kepler-376,,,,12.384,12.697,12.32,4.303,,,1.175,5900
Kepler-1589,,1418,0.08,13.549,13.859,13.544,4.32,1.18,,1.25,6166
Fomalhaut,0.09,7.704,,0.937,1.037,0.945,,1.92,,1.842,8590
GJ 176,1.51,9.27386,-0.1,5.824,6.462,5.607,,0.49,,,
Kepler-873,,1397,0.07,13.474,13.728,13.439,4.29,1.18,,1.27,6163
HD 23079,0.583,33.8868,-0.149704,5.814,6.03,5.705,4.33686,1.012,,1.16249,5927.07
HD 178911 B,0.75,42.5894,0.284922,6.458,6.748,6.375,4.55434,1.06421,,0.894377,5667.87
WASP-58,0.67,300,-0.45,10.364,10.626,10.285,4.27,0.94,0.81664,1.17,5800
Kepler-506,,231,0.09,9.665,9.911,9.617,4.36,1.19,,1.19,6236
Kepler-1571,,802,0.04,12.151,12.477,12.044,4.24,1.23,,1.39,6297
Kepler-543,,212,-0.19,11.213,11.731,11.089,4.63,0.7,,0.67,4671
Kepler-1535,,879,0,12.783,13.104,12.744,4.38,1.08,,1.11,6021
Kepler-1030,,795,-0.01,13.711,14.197,13.578,4.59,0.8,,0.76,4983
Kepler-1067,,689,0.03,12.778,13.105,12.656,4.49,0.95,,0.93,5592
Kepler-354,,,,13.255,13.875,13.16,4.627,,,0.674,4648
Kepler-1203,,269,0.01,12.191,12.861,12.059,4.67,0.64,,0.61,4105
HD 162020,0.964,29.4291,0.112024,6.649,7.175,6.539,4.90115,0.8,,0.526361,4844.67
Kepler-809,,933,0.04,13.237,13.557,13.195,4.45,0.99,,0.98,5734
Kepler-1368,,1750,0.1,14.351,14.701,14.388,4.4,1.07,,1.08,5906
Kepler-183,,,,13.384,13.726,13.31,4.502,,,0.958,5888
Kepler-1392,,1117,-0.11,14.012,14.403,13.939,4.53,0.88,,0.85,5479
MOA-bin-1L,,5100,,,,,,0.75,,,
Kepler-1556,,1060,0.08,13.695,13.998,13.555,4.47,0.97,,0.95,5608
Kepler-944,,1035,-0.11,13.96,14.364,13.851,4.54,0.86,,0.83,5409
Kepler-1110,,726,-0.16,13.748,14.319,13.604,4.62,0.73,,0.7,4781
Kepler-210,,,,11.449,11.992,11.313,4.663,,,0.65,4559
Kepler-437,,417,0,11.965,12.564,11.847,4.629,0.707,3.18,0.68,4551
HD 168746,0.713,42.735,-0.0775105,6.328,6.679,6.253,4.51838,0.916,,0.888361,5563.62
GJ 876,1.597,4.68867,0.37,5.349,5.934,5.01,,0.32,,,
Kepler-1164,,447,-0.03,12.261,12.719,12.203,4.57,0.85,,0.79,5183
Kepler-958,,467,0.01,12.115,12.495,12.041,4.53,0.91,,0.86,5421
Kepler-712,,944,-0.03,13.982,14.399,13.841,4.58,0.84,,0.78,5148
Kepler-580,,333,-0.06,12.441,13.09,12.314,4.66,0.67,,0.64,4298
Kepler-755,,368,-0.01,11.961,12.465,11.879,4.58,0.82,,0.77,5043
Kepler-260,,,,12.54,12.9,12.494,4.494,,,0.862,5250
Kepler-255,,,,13.854,14.227,13.69,4.516,,,0.933,5573
Kepler-750,,1181,0.03,13.212,13.463,13.103,4.32,1.15,,1.23,6160
HD 215497,0.953,43.592,0.23,6.917,7.339,6.784,4.31,0.872,,1.10659,5113
Kepler-1221,,909,0.09,13.735,14.117,13.665,4.55,0.87,,0.82,5194
Kepler-1160,,1293,0.01,14.215,14.579,14.16,4.51,0.92,,0.89,5519
HATS-5,0.809,257,0.19,10.772,11.199,10.703,4.53,0.936,,0.871,5304
HD 154345,0.728,18.5874,-0.104944,5.097,5.41,5.003,4.53667,0.893,,1,5468.12
Kepler-1031,,741,0.03,12.401,12.702,12.353,4.38,1.09,,1.12,6011
Kepler-523,,270,-0.03,10.908,11.283,10.827,4.54,0.93,,0.86,5515
Kepler-1550,,1202,0.01,13.49,13.812,13.427,4.38,1.07,,1.11,5991
HD 7199,0.849,35.8809,0.28,6.329,6.664,6.229,4.34,0.89,,1.11756,5386
Kepler-887,,831,0.08,12.27,12.539,12.241,4.29,1.19,,1.29,6194
GJ 433,1.509,8.88257,-0.22,5.856,6.471,5.623,,0.48,,,3600
Kepler-1301,,816,0.01,13.535,13.963,13.469,4.56,0.85,,0.81,5188
HD 159243,0.54,69.2,0.05,7.351,7.581,7.297,4.55,1.125,,1.12,6123
HAT-P-31,0.35,354,0.15,10.128,10.423,10.083,4.26,1.218,0.69,1.36,6065
Kepler-878,,567,-0.03,12.907,13.363,12.788,4.58,0.81,,0.77,5044
OGLE-TR-113,,600,0.09,,,13,4.552,0.779,1.71071,0.774,4790
Kepler-41,,729.927,-0.09,12.938,13.262,12.892,4.44,0.94,,0.966,5660
Kepler-798,,1085,0.03,12.87,13.144,12.838,4.29,1.19,,1.29,6224
Kepler-473,,641,0.12,11.795,12.121,11.731,4.21,1.06,,1.34,5816
HD 285507,1.3,41.34,0.13,7.811,8.365,7.665,4.67,0.734,,0.656,4503
Kepler-1307,,1396,0.06,13.885,14.171,13.878,4.39,1.06,,1.08,5884
Kepler-1573,,1180,0.02,13.68,14.021,13.677,4.44,1.01,,1,5808
Kepler-590,,986,0.07,12.979,13.268,12.936,4.35,1.1,,1.15,6000
Kepler-1220,,958,-0.04,13.345,13.706,13.208,4.45,1,,0.99,5842
Kepler-849,,747,0.12,11.59,11.842,11.527,4.1,1.23,,1.64,6059
HD 290327,0.761,56.6572,-0.11,7.404,7.683,7.271,4.42,0.9,,0.997399,5552
Kepler-438,,145,0.16,11.45,12.13,11.199,4.74,0.544,5.52,0.52,3748
Kepler-1315,,505,0.07,12.808,13.33,12.684,4.6,0.8,,0.75,4861
Kepler-1413,,1162,-0.05,14.385,14.821,14.224,4.57,0.84,,0.8,5196
Kepler-1604,,562,0.02,12.924,13.389,12.821,4.59,0.81,,0.76,4976
Kepler-1471,,1059,-0.03,13.69,14.037,13.604,4.48,0.95,,0.93,5660
Kepler-1445,,482,-0.03,11.178,11.436,11.114,4.28,1.13,,1.26,6150
Kepler-1020,,446,0,12.213,12.654,12.15,4.57,0.87,,0.8,5227
Kepler-572,,532,-0.1,12.649,13.114,12.558,4.57,0.83,,0.79,5212
Kepler-1598,,734,0.04,12.444,12.734,12.42,4.39,1.07,,1.09,5940
Kepler-1187,,1029,-0.01,13.155,13.507,13.151,4.39,1.06,,1.09,5975
Kepler-949,,572,0.01,12.627,13.063,12.519,4.53,0.89,,0.86,5403
HD 169830,0.517,36.6032,0.152981,4.777,4.974,4.687,4.05709,1.407,,1.80318,6221.43
Kepler-608,,926,-0.02,13.182,13.526,13.077,4.43,1,,1.01,5820
47 UMa,0.624,14.0627,0.0431014,3.736,3.959,3.75,4.37694,1.063,,1.11869,5882.31
Kepler-880,,673,0.03,11.065,11.25,11.039,4.12,1.46,,1.74,6761
Kepler-1343,,1307,-0.16,14.098,14.484,13.989,4.48,0.95,,0.93,5759
Kepler-575,,852,0,13.146,13.507,13.078,4.47,0.97,,0.95,5710
Kepler-199,,,,12.101,12.449,12.083,4.438,,,0.967,5644
Kepler-917,,1027,-0.38,14.077,14.553,14.005,4.58,0.8,,0.76,5418
Kepler-1072,,976,0.07,12.604,12.852,12.566,4.27,1.2,,1.32,6199
Kepler-1212,,1304,0.03,13.544,13.872,13.565,4.36,1.1,,1.15,6051
