STAR,BMV,DIST,FE,H,J,KS,LOGG,MSTAR,RHOSTAR,RSTAR,TEFF
Kepler-395,,,,13.131,13.818,12.948,4.729,,,0.556,4262
HD 126614 A,0.81,72.6216,0.56,7.16,7.47,7.06,4.39,1.145,,1.10978,5585
Kepler-875,,1244,0.03,13.601,13.959,13.556,4.38,1.06,,1.11,5958
Kepler-1508,,892,0.01,12.643,12.994,12.603,4.32,1.14,,1.22,6158
Kepler-1568,,883,0.09,12.639,12.929,12.618,4.32,1.09,,1.19,5956
Kepler-83,,,,13.079,13.737,12.947,4.718,,,0.594,4648
Kepler-519,,234,0.01,10.793,11.258,10.761,4.58,0.89,,0.8,5260
Kepler-192,,0,-0.153,12.512,12.892,12.427,4.43,0,,1.01,5479
Kepler-167,,330,-0.03,11.974,12.446,11.832,4.61,0.77,,0.726,4890
Kepler-772,,689,0.03,12.339,12.739,12.299,4.33,0.98,,1.11,5714
Kepler-295,,,,12.763,13.145,12.717,4.444,,,0.898,5603
Kepler-337,,,,11.257,11.537,11.183,4.004,,,1.761,5684
HD 177830,1.093,59.0319,0.3,4.953,5.366,4.809,3.37,1.17,,3.99397,4752
Kepler-516,0.82,777,0.01,11.053,11.18,10.987,4.04,1.62,,2.02,7099
Kepler-1562,,1315,0.11,13.903,14.169,13.849,4.41,1.02,,1.05,5760
Kepler-226,,,,13.72,14.114,13.63,4.586,,,0.802,5571
HD 38283,0.563,38.3142,-0.12,5.339,5.645,5.267,4.15,1.085,,1.50465,5998
Kepler-386,,,,13.75,14.18,13.61,4.558,,,0.767,5178
Kepler-922,,558,-0.05,12.26,12.613,12.188,4.48,0.95,,0.93,5671
HD 217786,0.578,54.8546,-0.135,6.416,6.685,6.352,4.35,1.02,,1.15058,5966
Kepler-363,,,,11.755,12.111,11.697,4.152,,,1.485,5593
Kepler-687,,628,-0.04,13.251,13.842,13.216,4.6,0.77,,0.73,4841
Kepler-1457,,728,-0.05,12.608,12.944,12.542,4.43,1.01,,1.01,5866
Kepler-567,,568,0,12.789,13.267,12.724,4.57,0.84,,0.79,5148
Kepler-1453,,1284,0.01,14.034,14.387,13.999,4.48,0.97,,0.94,5665
Kepler-24,,,,13.45,13.763,13.372,4.2,,,1.289,5897
HD 32518,1.107,120.627,-0.15,3.992,4.531,3.911,2.1,1.13,,24.3641,4580
Kepler-980,,804,0.01,12.714,13.022,12.665,4.41,1.05,,1.06,5935
Kepler-472,,302,0.16,11.565,12.063,11.461,4.59,0.85,,0.78,4996
Kepler-402,,,,12.082,12.303,11.993,4.278,,,1.264,6090
Kepler-435,0.0900002,2070,-0.17,12.34,12.59,12.29,3.5,1.538,0.0663,3.21,6090
WASP-18,0.49,99.4036,0,8.231,8.409,8.131,4.367,1.22,0.707,1.216,6400
CoRoT-6,0.726,,-0.2,12.228,12.518,12.119,4.44,1.05,,1.025,6090
Kepler-127,0.32,,,10.3,10.536,10.234,4.265,,,1.359,6106
Kepler-839,,833,0.29,12.31,12.554,12.25,4.29,1.22,,1.31,6058
Kepler-203,,,,12.47,12.859,12.445,4.358,,,1.114,5821
Kepler-1234,,866,0.01,13.863,14.354,13.797,4.59,0.8,,0.76,4967
Kepler-1127,,996,0.04,13.507,13.861,13.463,4.47,0.97,,0.95,5664
Kepler-732,,150,-0.01,11.952,12.596,11.721,4.79,0.49,,0.46,3631
HD 73267,0.806,54.2005,0.03,7.126,7.493,7.062,4.28,0.89,,1.16642,5317
HD 147513,0.625,12.7779,0.0891888,4.025,4.405,3.932,4.61193,1.072,,0.850084,5929.74
Kepler-1528,,916,0.03,13.067,13.397,13.032,4.43,1.03,,1.03,5857
Kepler-893,,1216,-0.03,13.736,14.133,13.744,4.45,1,,0.99,5820
Kepler-1387,,491,0.02,12.57,13.06,12.514,4.58,0.82,,0.77,5046
Kepler-1062,,388,0.11,12.444,13.025,12.333,4.62,0.75,,0.7,4597
HD 72659,0.612,49.8256,-0.00448106,6.089,6.357,5.982,4.2359,1.068,,1.34287,5919.51
